,player_code,first_name,web_name,second_name,player_name,position_id,position,team,selected,season_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
74,75.0,Jaidon,Anthony,Anthony,Jaidon Anthony,3.0,MID,Bournemouth,205927.0,49.0,994.0,3.0,0.0,2.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,980.0,0.0,1.53,0.82,21.34,0.0,36.11,-12.889999999999999
75,76.0,Jordan,Zemura,Zemura,Jordan Zemura,2.0,DEF,Bournemouth,471664.0,47.0,1452.0,0.0,1.0,5.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1445.0,0.0,0.47,1.7100000000000002,27.57,0.0,33.95,-13.05
76,77.0,Will,Dennis,Dennis,Will Dennis,1.0,GK,Bournemouth,1508273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,78.0,Pontus,Jansson,Jansson,Pontus Jansson,2.0,DEF,Brentford,2096129.0,19.0,527.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.02,0.11,7.96,0.0,9.45,-9.55
78,79.0,Christian,Nørgaard,Nørgaard,Christian Nørgaard,3.0,MID,Brentford,583643.0,64.0,1384.0,1.0,6.0,6.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1380.0,2.0,1.35,1.69,17.96,0.0,46.82,-17.18
79,80.0,Ivan,Toney,Toney,Ivan Toney,4.0,FWD,Brentford,69935059.0,145.0,2241.0,16.0,4.0,9.0,31.0,0.0,0.0,0.0,9.0,0.0,0.0,28.0,2240.0,3.0,14.89,2.88,30.37,40.0,158.2,13.200000000000001
80,81.0,David,Raya,Raya Martin,David Raya Martin,1.0,GK,Brentford,24452654.0,120.0,2430.0,0.0,0.0,9.0,34.0,0.0,0.0,0.0,1.0,0.0,108.0,14.0,2430.0,3.0,0.11,0.08,33.93,2.0,59.9,-60.1
81,82.0,Sergi,Canós,Canós Tenés,Sergi Canós Tenés,2.0,DEF,Brentford,228973.0,5.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.07,0.04,1.79,0.0,4.54,-0.45999999999999996
82,83.0,Josh,Dasilva,Dasilva,Josh Dasilva,3.0,MID,Brentford,15074971.0,61.0,1110.0,3.0,2.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1110.0,1.0,0.99,1.54,13.55,1.0,41.57,-19.43
83,84.0,Kristoffer,Ajer,Ajer,Kristoffer Ajer,2.0,DEF,Brentford,221962.0,29.0,763.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,2.0,0.04,0.12,11.34,2.0,22.6,-6.4
